id,author_id,text,created_at
736,Anon1,"@GovRonDeSantis Ron is protecting Florida's environment with practical actions, and has persisted for many years. People and future generations will witness the improvement of the environment and benefit from it.",2023-01-11T08:31:15+0200
825,Anon2,These species ofcos are beneficial to one way or the other even for the future. That's exactly why we need to plant a variety this festive season. #PandaMitiThisKrisi @Environment_Ke  @HonTuya @Eng_F_Ngeno @UNDPKenya @MwalimChurchill https://t.co/au5Ng9NeTC,2022-12-24T08:53:36+0200
743,Anon3,"@clickbaiitt Assuming it's like far future. The utopia you're presenting is like the most optimistic thing that can happen ""Humans will be able to enjoy while AI does all the work"". It's highly unlikely given the human nature and also dependent on the conscious variable of AI.",2023-01-09T21:31:33+0200
1681,Anon4,"@howbotanic @Teemillstore We need clothes and you are not doing fast fashion, we need art also so I see no issues, we will not sell a narrow pinched joyless vision of life, empty, we can alter the scale, throw away nature, materials, longevity, process, and still have a rich life some of it products some",2022-07-09T17:55:53+0300
621,Anon5,"@PierrePoilievre Canada was not broken before,

Canada is not broken after 8 years of Prime Minister Trudeau, otherwise we are not the best country 

Canada will not be broken in the future.

It is human nature to yearn for a place of prosperity, prosperity and safety https://t.co/MoQUlak5Kn",2023-02-05T21:14:37+0200
1432,Anon6,"Bees are very important for our ecosystem but their species is threatened with extinction. We might be able to prevent this tragedy by using Artificial Intelligence. With the use of sound and vision sensors, it is possible to determine the strength and health of a bee hive. https://t.co/B2Pgnl9xLD",2022-08-24T12:30:24+0300
501,Anon7,"""Nature does not hurry, yet everything is accomplished"" - Lao Tzu. 

Staying in touch with nature can bring not only physical but also mental health. 

Improve your health and fitness now for a safe and healthy future, with our supplements, https://t.co/4mSINx2VNj

.

#EarthsWisdom https://t.co/PxJU3E9Wkm",2023-03-03T19:05:47+0200
1017,Anon8,"Nominations for our NCI Steering Committee 2022-24 are open until tomorrow, Friday, Nov 18,  so get your submission in asap if you would like to help us shape the future of our work advocating for the #NaturalCapital approach to value nature in Ireland: https://t.co/c7i1JsusBe",2022-11-17T14:36:14+0200
233,Anon9,"@WeAreCyclingUK cycling #activity means I care about:

my physical form #Fit 

wellbeing #mindfullnness #positiveness #energy 🔜 contact with others

environment #green 

time #save (live close to my workplace)

...and work in positive way for my future when I get elder #flexi 

#energyBoost

➕above",2023-04-20T00:37:20+0300
632,Anon10,"Mapping fashion to new proportions, bequeathed with a sustainable future, Aoife McNamara imagined a classic combination of fashion, designed from nature.



Join us to listen to Aoife McNamara and Ashley recounting her journey on https://t.co/XcAWhICFUh. https://t.co/nG7wqEJmlg",2023-02-03T11:53:52+0200
1662,Anon11,"Today's #MissionRosary decade is for the Americas.



We join the Colombian Bishops to pray for peace and respect across their country, for protection of its precious environment, and for a brighter future for its young people.



Join us daily to #Prayfortheworld https://t.co/GFJxDqXYhq",2022-07-13T12:00:00+0300
138,Anon12,"Highlights | New books



James Martin Carr

Catholicism and liberal democracy : forgotten roots and future prospects

https://t.co/CoZhWEAh4W



Michael Dominic Taylor

The foundations of nature : metaphysics of gift for an integral ecological ethic

https://t.co/BmHUML8dXX https://t.co/of0hWSzNk0",2023-04-28T00:11:25+0300
508,Anon13,"How can you keep, store and use #liquid #water on the #moon surface for future #lunar #life support? Here a possible solution: https://t.co/oMpDYbzolb based on our 2019 https://t.co/cYvvqzIbUf and 2021 https://t.co/Otu8n2BZdQ #NatureNano papers! https://t.co/SYIu1QoIR4",2023-03-03T11:18:45+0200
2050,Anon14,"Atlas shrugged.. for the environment and the future of humanity. Thumbs up from John Galt after his eco-collectivist revelation.

https://t.co/kwUeuurrrW",2022-05-25T01:48:29+0300
1262,Anon15,"Nature is healing. I'm happy, I'm looking forward to the future 

Hopefully this happiness is not just momentary",2022-10-02T21:05:28+0300
658,Anon16,"The Field Report: The Future of Organic Food Is Taking Shape at the USDA—and Beyond



https://t.co/KMdYSTNYVO



#Environment https://t.co/KsIpX08jM7",2023-01-31T02:15:05+0200
61,Anon17,"I am honored to have met Forestry PS Ephantus Kimotho and look forward to working together to serve Kenya's ambitious vision for forestry, agroforestry, biodiversity and climate for local prosperity and sustainability. https://t.co/B6WVjVtyrH",2023-05-16T13:43:24+0300
931,Anon18,Mabrook and thank you... we will continue what we have started for greener and clean environment for our future!!! https://t.co/EjTPtbr3SO,2022-12-07T17:41:17+0200
1706,Anon19,"@jtelferoz @AgroJAK In future, we’ll aim to reduce herbicide usage as we incorporate parameters such as being Greenhouse Gas conscious, energy usage, reducing chemical inputs, maintaining high biodiversity and being climate smart but targeting higher value production per hectare.

All interesting.",2022-07-05T15:26:41+0300
1796,Anon20,"Jaguar Mining Values: Zero Harm

Zero harm to our employees, the environment and communities is our goal.

.

Learn More: https://t.co/jz4WY4Jlfg

.

#JaguarMining #Mining #MiningCompany #TSX #Investor #Investing #GoldInvestor #Gold #Development #Exploration #BrazilMining https://t.co/uCblWB7FW4",2022-06-17T21:01:45+0300
1482,Anon21,For the nature and future generations we should not use plastic. @GreenplyPlywood Plastic Free Tiranga,2022-08-14T15:18:47+0300
302,Anon22,"🌱🌿🌊🌏👥 Local communities are the backbone of successful mangrove restoration projects! By engaging and empowering the people who live in and depend on coastal ecosystems, we can ensure a sustainable future for both the environment and the communities that rely on it. 🌱🌿🌊 https://t.co/k8wuZOFTfL",2023-04-05T11:02:15+0300
1739,Anon23,"@Shellymackbooks Interesting. 

Author 2 books which solve environmental problems and expose positive pathways for meeting future requirements of nature and humanity.  Deep Calls to the Deep will be available July 24

https://t.co/HRDD4dYLek",2022-06-28T08:43:25+0300
1962,Anon24,"✨Fashion Info's✨



Buying pre loved clothes isn't a sacrifice it's your ticket to a better future, for yourself and for the environment. Let's all make a shift to thrift and make this fashion revolution look fabulous.



#fashionrevolution #notofastfashion #sustainablefashion https://t.co/iYf0RudRAx",2022-06-04T16:04:48+0300
1958,Anon25,"It's our responsibility that we save the nature and make it safer for our future generations... 

This is very good initiative

#PlantationWithNaveenGoyal https://t.co/Kpn8mHJnzs",2022-06-04T18:35:12+0300
49,Anon26,"The Beehives of Lornado are contributing to a sweeter future! 



As pollinators, bees actively assist with food production, biodiversity, and the overall health of our planet.  



#WorldBeeDay | @GeesBeesHoney https://t.co/cTuoaScxha",2023-05-20T15:57:01+0300
530,Anon27,@Environment_Ke @EphantusKim @Forestry__Kenya Can't wait to be one of you in the so near future as an environment expert,2023-02-28T16:38:05+0200
568,Anon28,"By integrating climate into the stories about their place; by aligning stories with values of care for people and nature; by understanding how they shape sustainable tourism, operators can future-proof their businesses from the impacts of climate change https://t.co/gw1VZ4jbLJ",2023-02-20T09:47:35+0200
1020,Anon29,"This week, Future Island (RTE1 7-8pm) has been working with @BirdWatchIE to highlight the importance of citizen science. Today’s Irish Times reports on the pressure our birds are under and the links between biodiversity loss and climate change https://t.co/4PnipmOLMY https://t.co/kLfrD5ci4b",2022-11-17T10:02:41+0200
144,Anon30,"@hnabaah @Phairoosch @ai82517 However, I do think it is important for us (not only the government), think of ways to reduce the impact of single use plastic on our environment, and pave a way for a better future for this nation, and its natural beauty. I think we are trying to sell that here as a life line.",2023-04-27T01:23:57+0300
1195,Anon31,"Today we received the letter from the #pope and with it came #hope. Hope that the #future generations will be one with #nature as this is the biggest lesson from the #climatecrisis

#laudatosi https://t.co/BKZkgAbHAN",2022-10-15T12:21:37+0300
271,Anon32,"#WALeg passed Rep. Mena's HB 1085, taking a stand against plastic pollution! Let's protect our environment and wildlife for future generations! https://t.co/aQprfLzzCN  #PlasticPollution #ProtectOurPlanet",2023-04-12T05:45:09+0300
1388,Anon33,"📢 The International Circular Economy Forum (FIEC) in Peru 🇵🇪: Building our circular vision and circular ecosystem 👉 the largest #circulareconomy event in the region, September 13th-15th, 2022!  



@UEenPeru @MinamPeru @MINPRODUCCION @midagriperu @minceturperu https://t.co/GFB0loSicZ",2022-09-05T13:30:38+0300
404,Anon34,"Water conserved, means life conserved for the future! Save water to save lives! 



#VijaySales #worldwaterday #worldwaterday2023 #water #natureconservation #nature #waterconservation https://t.co/K1sf8bNmZJ",2023-03-22T06:56:02+0200
1090,Anon35,So true Melody.  Nature lets the light in.  Here’s to embracing the future. #naturetherapy https://t.co/NKl2RFnkkO,2022-11-02T21:32:54+0200
2055,Anon36,"Thanks to this residency, coordinated by @peacefor_art, Anna could find a place to work on her future artistic projects in a peaceful environment.

We stand by her and look forward to seeing her new creations!

@uphotowomen

#artcanhelp #artistsupport #ArtnotWar https://t.co/41KhuJ2Ky3",2022-05-24T13:40:05+0300
1596,Anon37,Stockholm+50: Unlocking a Better Future #nature. https://t.co/yQn8vdILa7,2022-07-26T13:21:33+0300
122,Anon38,"""Wales deserves better than the same old politics. Plaid Cymru offers a fresh, progressive vision for Wales, with policies that prioritize our communities, our environment, and our future. Don't settle for the status quo - vote for real change with @Plaid_Cymru. #PlaidCymru… https://t.co/wdoSfvYuqj",2023-05-01T14:05:55+0300
410,Anon39,"⁣⁣#Nature has the power to heal us,but we also have the responsibility to take care of it.That's why I'm proud to support #3wmtoken which promotes sustainability and supports eco-friendly initiatives. Let's join hands to protect our planet and secure a better future .. 🌍💚 https://t.co/RiJHtPWzcR",2023-03-21T20:59:13+0200
1351,Anon40,"URBAN TECH: shaping a healthier, smarter and greener urban environment of the future https://t.co/ebgaWjjl0G, see more https://t.co/lcFzrpHNPX",2022-09-14T14:17:58+0300
1154,Anon41,"🗓️ Join the @The_RSAW on 10 November for the RSAW Annual Conference 2022, where we'll be exploring the Well-being of Future Generations Act 2015, the Welsh law that supports working together to improve the environment, economy, society and culture: https://t.co/JHXoZ5kOFA https://t.co/jWwLnmZgM9",2022-10-21T13:13:30+0300
83,Anon42,"@theToddHirsch Excellent plan! Investing in the lives of Albertans today, as well as for the future of the province. We CAN have our cake and eat it too. We can invest in education, infrastructure, and environment while diversifying the economy and supporting inclusion and kindness. Win-win!",2023-05-10T07:42:27+0300
1343,Anon43,"@Tim_Denning Human optimisation cetners. Plug points deep in healing in massive nature reserves, sustainably built, combing the best in spiritual practices and advanced bio hacking and healing.  Creative hubs we’re we can come to heal and uplift and vision a new world.",2022-09-16T07:54:03+0300
1513,Anon44,"Please support



Future of the Amazon Foundation 



https://t.co/iMkjSJJvUP



to help indigenous people restore their rainforest! #Amazon #rainforest #nature",2022-08-05T21:49:06+0300
394,Anon45,"#WorldWaterDay 💧



Water is an essential resource that Ontario is committed to protecting for present and future generations to come.



Watch the video and like/share if you know these water facts.



#water #SaveWater #WaterDay #ontario #environment https://t.co/QSGRNdMwcg",2023-03-22T14:53:10+0200
2031,Anon46,"This Water Saving Week, can you change your water habits to protect the environment and create a safe future for your community?



Find out more here - https://t.co/xftuiI2mG8



#watersavingweek #WatersWorthSaving #WWS22 https://t.co/CV2DZtLEbV",2022-05-27T15:42:39+0300
975,Anon47,"But public opinion is with agroecology. 



More than a million Europeans have called for the phase out of pesticides by 2035, along with measures to restore biodiversity, and support for farmers in transitioning their system.



Agroecology is the future.



https://t.co/bwdJZupiWU",2022-11-28T19:20:06+0200
333,Anon48,"The Future is Fungi: By growing mushrooms in communities around the country, @smallhold is helping people reconnect with their food, environment, and farmers. https://t.co/WBM9fQPmQl #goodisthenewcool https://t.co/CLqXktuRZT",2023-03-30T18:10:11+0300
816,Anon49,Fostering Reciprocal Human and Biodiversity  Relationships via the 10th Future Fashion Expo video https://t.co/zOzwgWKgj6,2022-12-25T21:55:10+0200
924,Anon50,"You’ve been planted for a higher calling, a bigger purpose, and a bigger vision. Don’t get bogged down by the pesticides in your life, environment, or circumstances. You are the one who is going to breakthrough the toxicity in your life! I declare it today my brother and sisters",2022-12-08T16:00:44+0200
824,Anon51,"We should embrace this noble call and ensure each one of us plants atleast 300 trees in a period of 10 year since this will make us hit out expectations for the betterment of our future life.



#PandaMitiThisKrisi @Environment_Ke  @HonTuya @Eng_F_Ngeno @UNDPKenya @MwalimChurchill https://t.co/sCvanHdE2a",2022-12-24T10:53:10+0200
548,Anon52,Robotic bees could be the key to a healthier future! #materialsscience #science #letstalkmaterials https://t.co/SjKx6GsYFw,2023-02-24T22:21:00+0200
1058,Anon53,"Nature as the healer !



New form of therapy on the horizon. 



#psychtwitter



https://t.co/iv6EdIi3CH",2022-11-09T18:51:42+0200
